city,timestamp,temperature,season
New York,2010-01-01,-5.935926244163046,winter
New York,2010-01-02,3.19660066970417,winter
New York,2010-01-03,6.441793943179609,winter
New York,2010-01-04,-3.9289963181205465,winter
New York,2010-01-05,0.06501073024226375,winter
New York,2010-01-06,-1.083498656934081,winter
New York,2010-01-07,-4.294786328730001,winter
New York,2010-01-08,8.838077993344273,winter
New York,2010-01-09,-0.18458183450747623,winter
New York,2010-01-10,3.026662825007999,winter
New York,2010-01-11,-8.247773764628603,winter
New York,2010-01-12,3.0431046105878408,winter
New York,2010-01-13,9.56316244039222,winter
New York,2010-01-14,-4.654681034239258,winter
New York,2010-01-15,0.9082430751203735,winter
New York,2010-01-16,-1.5851470445685685,winter
New York,2010-01-17,6.109833221273787,winter
New York,2010-01-18,2.5467987996207215,winter
New York,2010-01-19,0.7302609341775614,winter
New York,2010-01-20,5.6716969923832234,winter
New York,2010-01-21,1.343165703414289,winter
New York,2010-01-22,3.330658890920314,winter
New York,2010-01-23,-2.989956845929757,winter
New York,2010-01-24,-5.123108829569931,winter
New York,2010-01-25,-6.210623549936802,winter
New York,2010-01-26,1.2295076431200949,winter
New York,2010-01-27,-2.261305686979933,winter
New York,2010-01-28,8.770179961911612,winter
New York,2010-01-29,5.724742607178188,winter
New York,2010-01-30,12.622671966430524,winter
New York,2010-01-31,-4.371838260154701,winter
New York,2010-02-01,-2.1860629796187685,winter
New York,2010-02-02,2.3474577067766176,winter
New York,2010-02-03,0.1566731797039543,winter
New York,2010-02-04,1.2408218650959881,winter
New York,2010-02-05,1.2235314007722224,winter
New York,2010-02-06,-6.829504965705492,winter
New York,2010-02-07,6.182262379877467,winter
New York,2010-02-08,-11.925280558008973,winter
New York,2010-02-09,-4.373263792085077,winter
New York,2010-02-10,2.47076347296049,winter
New York,2010-02-11,-2.024974767911016,winter
New York,2010-02-12,5.711258613612417,winter
New York,2010-02-13,-7.990064376354013,winter
New York,2010-02-14,-6.5405493525725635,winter
New York,2010-02-15,5.577743490615776,winter
New York,2010-02-16,-6.227863631993506,winter
New York,2010-02-17,-1.5479554002731388,winter
New York,2010-02-18,2.850633309268635,winter
